TPSA MW FC BJ
64.63 365.43 0.2727 1.8707
77.11 436.88 0.2222 1.5629
112.78 411.80 0.1000 2.0177
67.79 446.55 0.4231 1.2374
51.22 316.43 0.4118 1.7047
77.50 284.27 0.0667 1.7280
89.75 306.73 0.4000 2.3992
48.53 273.37 0.3077 2.0641
48.99 357.50 0.3333 1.5645
29.10 259.37 0.2667 2.0395
68.29 354.45 0.4762 2.1435
125.28 396.38 0.3125 2.4959
61.44 337.40 0.0556 1.8220
33.12 253.22 0.1538 2.4977
104.33 397.41 0.1053 1.9353
79.90 210.24 0.6667 1.9714
36.02 421.58 0.5000 1.3030
47.89 373.38 0.0435 1.5145
88.60 403.50 0.4000 1.5705
69.62 279.35 0.1875 1.9832
71.25 398.47 0.2083 1.5495
44.53 274.37 0.5333 1.6676
46.17 317.74 0.0769 2.2160
42.32 308.38 0.2778 1.6723
67.27 399.49 0.2000 1.7646
50.72 394.58 0.8000 1.5276
78.27 466.61 0.4000 1.2512
46.92 345.75 0.3333 2.3047
33.73 290.41 0.6471 1.6925
81.70 369.42 0.2857 1.7541
46.17 211.29 0.4000 2.2356
95.07 431.48 0.0909 1.1515
55.40 325.82 0.2000 2.4808
78.85 269.31 0.2143 1.6815
59.31 350.85 0.5625 1.6301
59.37 380.52 0.4286 1.3313
38.33 317.82 0.2778 1.6546
107.37 357.41 0.5556 1.6525
96.57 492.60 0.3077 1.4360
101.05 495.00 0.1600 1.6775
78.43 312.37 0.2222 2.0246
72.06 439.56 0.4800 1.2524
75.71 476.96 0.1739 2.0155
58.87 348.45 0.3500 1.5145
67.16 457.94 0.0000 1.3682
39.52 363.46 0.3182 1.7127
67.17 381.43 0.1000 1.8371
105.14 349.40 0.2778 1.8474
54.26 391.52 0.4348 1.8369
75.71 472.57 0.0741 1.6912
113.64 353.33 0.1667 2.0360
29.54 293.43 0.4375 2.6397
67.43 290.34 0.1429 2.1903
119.39 476.94 0.1905 1.8072
32.67 329.20 0.1250 2.2300
63.16 448.01 0.3333 1.5184
75.71 320.44 0.5833 2.8369
23.55 328.50 0.5714 1.8219
101.55 450.45 0.0000 1.3203
88.48 301.35 0.1111 2.1763
79.96 316.41 0.6250 1.5306
21.06 327.38 0.2105 2.1481
47.28 310.40 0.3158 1.8571
58.37 403.53 0.3600 1.4854
42.22 306.41 0.3684 2.0215
74.77 454.55 0.4800 1.3185
38.33 370.25 0.1053 1.6913
66.48 431.74 0.1875 2.2505
98.75 341.32 0.1667 1.7169
57.69 336.46 0.5882 1.7112
66.48 256.33 0.3636 2.5891
59.81 336.37 0.2105 1.6339
67.87 316.36 0.5294 1.4481
47.26 242.32 0.5333 2.1240
102.20 416.74 0.2500 2.2703
34.17 424.46 0.4545 1.5727
70.16 323.39 0.8125 1.5316
90.27 349.46 0.5294 1.9773
80.32 468.35 0.2609 1.7617
27.30 333.55 0.6316 1.7655
68.54 369.46 0.5455 1.7093
57.78 243.29 0.0000 1.8691
84.73 280.36 0.4545 1.8534
70.15 353.47 0.4500 1.5217
49.77 349.43 0.3182 1.7334
96.89 354.79 0.3750 2.5280
83.56 315.34 0.0000 1.8452
50.36 270.33 0.1875 2.0070
59.61 443.49 0.3750 1.5813
81.16 339.39 0.3158 1.4532
79.37 309.32 0.1765 1.7939
40.54 347.45 0.3158 1.9568
76.80 490.61 0.3667 1.1868
72.24 396.18 0.1333 2.1374
46.17 355.48 0.0526 1.7968
101.34 299.29 0.0667 2.2247
58.97 406.87 0.2609 1.3361
52.57 332.49 0.6500 1.8715
75.71 352.39 0.2500 1.6958
102.89 450.47 0.1304 1.3990
82.86 379.42 0.2857 1.6140
81.47 357.44 0.3333 1.5200
85.57 357.80 0.2941 1.7803
40.62 330.33 0.2222 1.6452
82.44 386.41 0.0909 1.8586
73.12 270.33 0.3750 2.0466
53.96 350.50 0.7000 1.7859
57.88 311.41 0.1765 2.0616
61.81 364.22 0.2667 2.5018
48.99 263.37 0.3846 1.9756
92.78 461.00 0.3684 2.4317
41.99 416.13 0.0667 1.9449
81.93 451.58 0.1818 1.4079
47.56 295.35 0.5625 2.1837
71.67 419.50 0.3333 1.3830
52.65 371.51 0.4000 1.5713
84.60 315.35 0.0667 1.9595
48.67 451.32 0.1250 1.6986
68.46 427.50 0.2692 1.1631
53.94 351.84 0.2105 1.5218
101.42 334.77 0.2857 1.7732
54.82 376.46 0.2609 1.5249
20.31 257.72 0.1333 1.9562
93.45 446.51 0.3750 1.4637
64.63 393.83 0.0909 1.6290
44.37 291.42 0.4667 1.9044
38.33 255.14 0.2222 2.7564
122.31 471.56 0.1905 1.3286
55.40 458.74 0.0909 1.9367
45.05 272.74 0.1333 2.0918
101.58 370.41 0.3158 1.4227
64.55 489.52 0.2917 1.5546
69.89 454.94 0.1739 2.0149
54.26 399.56 0.5714 1.3235
52.57 427.55 0.3462 1.2327
75.71 430.57 0.4348 1.8850
45.75 292.79 0.2857 1.7972
32.34 360.44 0.5882 1.7738
70.59 399.30 0.1765 1.8982
81.92 296.33 0.0588 2.0099
80.47 288.39 0.5455 2.2185
97.49 270.25 0.0000 2.0180
75.71 493.42 0.4091 1.9298
44.81 350.49 0.4000 1.3704
51.02 336.85 0.4000 1.6765
98.16 389.41 0.1818 2.1047
41.99 232.33 0.5714 1.7005
68.29 292.36 0.2143 2.1615
72.72 437.48 0.3478 1.1352
66.69 339.39 0.3158 1.5706
72.24 382.84 0.2353 1.7534
50.27 396.56 0.4348 1.6907
99.10 292.29 0.2857 2.5574
41.13 242.37 0.4000 2.3552
57.38 300.29 0.1250 1.9489
81.47 312.32 0.1176 1.9385
104.50 349.39 0.0000 1.9397
58.20 276.38 0.5000 2.6018
56.17 308.42 0.6471 1.7066
49.57 287.29 0.4615 2.0191
116.21 462.29 0.1176 1.7057
29.10 380.69 0.0625 1.9309
88.41 421.27 0.0000 1.7216
46.17 373.21 0.0769 2.3327
42.57 349.86 0.1250 1.8354
66.48 383.27 0.1333 2.3729
67.43 236.27 0.3333 2.6406
49.74 385.51 0.3333 1.3152
76.63 381.44 0.3500 1.2805
61.80 382.50 0.4348 1.4557
56.41 343.40 0.4737 1.4296
70.00 438.52 0.5200 1.4360
41.37 398.51 0.3600 1.4829
29.10 333.46 0.0952 1.7427
126.53 420.36 0.0476 1.8592
58.36 285.35 0.3750 1.7995
38.66 235.31 0.3333 1.9245
66.48 352.36 0.1875 1.9052
41.99 282.39 0.3333 2.0689
59.81 272.35 0.4000 2.1807
47.89 295.38 0.3846 1.6550
101.21 429.52 0.2800 1.3308
32.34 246.35 0.5333 1.9954
84.94 424.91 0.3158 1.7532
64.63 423.53 0.2500 1.8653
103.78 428.44 0.0476 1.9460
39.91 342.49 0.6842 1.4726
77.57 255.28 0.0714 1.9315
49.58 437.54 0.2143 1.3052
104.73 404.42 0.0870 1.6420
100.92 392.80 0.0000 1.6047
54.04 381.48 0.4091 1.2204
106.62 439.49 0.1818 1.8172
56.15 349.84 0.2500 1.6433
47.02 367.44 0.6316 1.6862
78.27 430.51 0.2400 1.5284
75.80 366.42 0.3333 1.5486
100.83 389.43 0.2778 1.7287
78.95 487.96 0.4000 1.5610
75.27 403.32 0.2143 2.1483
71.53 317.39 0.5882 1.5422
124.44 497.58 0.2917 1.4469
50.80 280.37 0.5333 2.4984
75.27 408.52 0.1739 1.6198
78.72 450.93 0.2083 1.4521
38.33 369.46 0.2400 1.5856
53.96 296.39 0.5000 2.0314
54.88 281.43 0.7857 1.9002
57.26 318.33 0.0526 2.1508
75.27 420.14 0.4615 2.0883
75.58 323.40 0.3529 1.6045
73.80 288.38 0.2143 2.1944
24.92 298.39 0.1176 1.8223
86.88 258.28 0.1538 2.2407
67.51 312.37 0.2778 1.7267
72.24 256.26 0.0714 2.1361
64.35 258.28 0.2857 2.0723
58.20 422.48 0.2800 1.8131
68.62 440.45 0.3043 1.2097
96.23 453.89 0.0000 1.3279
63.64 420.42 0.2105 1.6290
109.62 477.61 0.4091 1.7161
77.24 385.42 0.0870 1.5927
29.10 333.76 0.2143 1.9634
55.57 362.43 0.2727 1.6013
55.13 346.41 0.0000 1.7463
71.41 431.54 0.2692 1.8141
50.72 315.41 0.3684 1.8378
35.58 349.36 0.2778 1.4960
67.87 434.52 0.2500 1.3984
40.62 252.70 0.3333 2.0118
78.45 365.43 0.3333 1.5286
77.92 316.36 0.4706 1.6141
51.66 442.61 0.3913 1.5522
78.60 275.31 0.4286 1.7399
101.34 389.41 0.0909 1.6740
103.78 436.49 0.1304 1.6190
63.83 352.42 0.1579 1.9772
51.22 322.82 0.3333 1.5381
75.71 392.45 0.3478 1.5273
41.13 364.75 0.0556 1.8316
67.64 339.44 0.4737 1.5774
36.44 405.59 0.5385 1.3114
102.95 343.26 0.3077 1.8870
